ID,Song Name,Artist,Charter,Year,Genre,BPM,Difficulty,Download,Archive Link,Size
00017,Five Nights at Freddy's,The Living Tombstone,Mimic,2014,Fan Song,103,9,EpUAE4VU,00017. Five Nights At Freddy's - The Living Tombstone [Mimic].zip,2800601
00018,Hilltop Chase (Gourmet Race 2),Jun Ishikawa,Floppo,1996,Gourmet,180,9,FoFivkKT,00018. Hilltop Chase - Jun Ishikawa [Floppo].zip,6384205
00019,Watch Dog,Al Terry,Kamoh,1960,Rockabilly,158,6,uuMzQyBM,00019. Watch Dog - Al Terry [Kamoh].zip,2817167
00020,Universal Collapse,DM Dokuro,Skske,2022,VGM,100,7,Zs3vMrjj,00020. Universal Collapse - DM Dokuro [Skske].zip,6510523
00021,RuneScapeSeaShanty2,JAGEX,Blorkinator_,2004,OST,200,6,vziRuC8x,00021. Sea Shanty 2 - Ian Taylor [Blorkinator_].zip,4395676
00022,Night Boat To Cairo,Madness,Wulf,1979,Ska,157,7,5jd74SwB,00022. Night Boat To Cairo - Madness [Wulf].zip,4509492
00023,ナイト・オブ・ナイツ,BeatMARIO,Freya,2007,Touhou,180,10,miGRsxVg,00023. Night of Nights - BeatMARIO [Freya].zip,5467061
00024,mr majestic,Calibre & High Contrast,WORLDWIDEWOLF (Arne),2004,Drum & Bass,173,4,oJxDzFiC,00024. Mr Majestic - Calibre & High Contrast [WORLDWIDEWOLF (Arne)].zip,6287024
00025,Castlevania: SOTN - Dracula's Castle,Konami,MegaGoat,1997,Video Game,136,5,r9a3e7AZ,00025. Dracula's Castle - Michiru Yamane [MegaGoat].zip,3059061
00026,Destiny - Rise of Iron Main Theme,Michael Salvatori,TStorm-LegendaryEli,2016,Classical,95,7,QxgCpdGQ,00026. Destiny - Michael Salvatori [TStorm-LegendaryEli].zip,6284051
00027,wish i could care less,"fizzd, Yeo",DPS2004,2021,lo-fi,162,7,VuezVVqd,00027. Wish I Could Care Less - Fizzd + Yeo [DPS2004].zip,2061277
00028,Beautiful Beautiful,ONF,PX,2021,ONF:MY NAME,125,8,snUNXVbH,00028. Beautiful Beautiful - ONF [PX].zip,11137268
00029,Through the Fire and Flames,DragonForce,DerpyChap,2005,Power Metal,200,10,5QNLXy3p,00029. Through The Fire & Flames - DragonForce [DerpyChap] (Update).zip,28793816
00029,Through the Fire and Flames,DragonForce,DerpyChap,2005,Power Metal,200,10,hU46djqw,00029. Through The Fire & Flames - DragonForce [DerpyChap].zip,28793816
